gene	gene_name	gate_type_GM12878	gate_type_K562	functional_category	cosmic_census_flag
LOXL3	LOXL3	SIMPLE_AND	INCONSISTENT	unknown	no
POLE4	POLE4	SIMPLE_AND	COMPLEX	unknown	no
TACR1	TACR1	BIVALENT	REPRESSED	unknown	no
FN1	FN1	BIVALENT	SIMPLE_OR	structural/other	no
PECR	PECR	SIMPLE_AND	INCONSISTENT	unknown	no
UNC50	UNC50	COMPLEX	INCONSISTENT	unknown	no
ELMOD3	ELMOD3	SIMPLE_AND	INCONSISTENT	unknown	no
OTX1	OTX1	BIVALENT	INCONSISTENT	unknown	no
COQ10B	COQ10B	SIMPLE_AND	INCONSISTENT	unknown	no
PDCL3	PDCL3	SIMPLE_AND	INCONSISTENT	unknown	no
MOB4	MOB4	SIMPLE_AND	INCONSISTENT	unknown	no
CHMP3	CHMP3	SIMPLE_AND	COMPLEX	unknown	no
IL18RAP	IL18RAP	SIMPLE_OR	INCONSISTENT	unknown	no
SLC9A2	SLC9A2	BIVALENT	INCONSISTENT	metabolic	no
PASK	PASK	SIMPLE_AND	INCONSISTENT	unknown	no
ID2	ID2	BIVALENT	INCONSISTENT	transcription factor	no
ODC1	ODC1	COMPLEX	SIMPLE_AND	unknown	no
BIRC6	BIRC6	COMPLEX	SIMPLE_AND	unknown	yes
GORASP2	GORASP2	SIMPLE_AND	COMPLEX	unknown	no
PRKD3	PRKD3	BIVALENT	SIMPLE_AND	kinase/signaling	no
QPCT	QPCT	BIVALENT	REPRESSED	unknown	no
RMDN2	RMDN2	SIMPLE_AND	INCONSISTENT	unknown	no
DLX2	DLX2	BIVALENT	INCONSISTENT	transcription factor	no
SDC1	SDC1	SIMPLE_AND	INCONSISTENT	unknown	no
PLCL1	PLCL1	BIVALENT	SIMPLE_AND	unknown	no
KYNU	KYNU	SIMPLE_AND	INCONSISTENT	unknown	no
WIPF1	WIPF1	BIVALENT	INCONSISTENT	unknown	no
AAK1	AAK1	REPRESSED	INCONSISTENT	unknown	no
TRAK2	TRAK2	SIMPLE_AND	INCONSISTENT	unknown	no
C2orf42	C2orf42	SIMPLE_AND	INCONSISTENT	unknown	no
PCYOX1	PCYOX1	SIMPLE_AND	INCONSISTENT	unknown	no
KISS1R	KISS1R	BIVALENT	SIMPLE_AND	unknown	no
VAX2	VAX2	REPRESSED	BIVALENT	unknown	no
SPR	SPR	BIVALENT	SIMPLE_AND	unknown	no
PARD3B	PARD3B	REPRESSED	INCONSISTENT	unknown	no
BCL9	BCL9	SIMPLE_OR	INCONSISTENT	unknown	yes
PRRX1	PRRX1	BIVALENT	REPRESSED	unknown	yes
MORN1	MORN1	SIMPLE_AND	INCONSISTENT	unknown	no
SCP2	SCP2	SIMPLE_OR	SIMPLE_AND	unknown	no
RALGPS2	RALGPS2	BIVALENT	INCONSISTENT	unknown	no
TCEANC2	TCEANC2	SIMPLE_AND	INCONSISTENT	unknown	no
WRAP73	WRAP73	SIMPLE_AND	BIVALENT	unknown	no
RPL22	RPL22	SIMPLE_OR	SIMPLE_AND	unknown	yes
PHF13	PHF13	SIMPLE_AND	INCONSISTENT	chromatin regulator	no
ELAPOR1	ELAPOR1	BIVALENT	INCONSISTENT	unknown	no
RNF19B	RNF19B	SIMPLE_AND	INCONSISTENT	unknown	no
TRIM62	TRIM62	BIVALENT	INCONSISTENT	unknown	no
DLGAP3	DLGAP3	REPRESSED	BIVALENT	unknown	no
MEF2D	MEF2D	COMPLEX	INCONSISTENT	transcription factor	no
SWT1	SWT1	SIMPLE_AND	INCONSISTENT	unknown	no
MAD2L2	MAD2L2	REPRESSED	SIMPLE_OR	unknown	no
NCF2	NCF2	SIMPLE_AND	REPRESSED	unknown	no
SLC35D1	SLC35D1	SIMPLE_AND	INCONSISTENT	unknown	no
GADD45A	GADD45A	BIVALENT	SIMPLE_AND	unknown	no
PRDM2	PRDM2	SIMPLE_AND	REPRESSED	transcription factor	yes
RGS2	RGS2	SIMPLE_OR	INCONSISTENT	unknown	no
ZBTB17	ZBTB17	COMPLEX	SIMPLE_AND	transcription factor	no
TMEM9	TMEM9	SIMPLE_OR	SIMPLE_AND	unknown	no
EXOC8	EXOC8	SIMPLE_AND	INCONSISTENT	unknown	no
RRAGC	RRAGC	SIMPLE_AND	INCONSISTENT	unknown	no
HPCAL4	HPCAL4	INCONSISTENT	BIVALENT	unknown	no
KMO	KMO	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF684	ZNF684	SIMPLE_AND	INCONSISTENT	transcription factor	no
KCNQ4	KCNQ4	REPRESSED	INCONSISTENT	unknown	no
PADI2	PADI2	BIVALENT	REPRESSED	unknown	no
RPF1	RPF1	SIMPLE_AND	COMPLEX	unknown	no
CTBS	CTBS	SIMPLE_AND	INCONSISTENT	unknown	no
ZNHIT6	ZNHIT6	SIMPLE_AND	INCONSISTENT	unknown	no
PLA2G2D	PLA2G2D	INCONSISTENT	REPRESSED	unknown	no
KIF17	KIF17	REPRESSED	INCONSISTENT	unknown	no
RAB29	RAB29	COMPLEX	INCONSISTENT	unknown	no
ECE1	ECE1	BIVALENT	SIMPLE_AND	unknown	no
CR2	CR2	SIMPLE_AND	INCONSISTENT	unknown	no
ERI3	ERI3	SIMPLE_OR	SIMPLE_AND	unknown	no
PIK3R3	PIK3R3	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
TMED5	TMED5	COMPLEX	SIMPLE_AND	unknown	no
VAMP4	VAMP4	SIMPLE_AND	INCONSISTENT	unknown	no
UTP25	UTP25	SIMPLE_AND	INCONSISTENT	unknown	no
PLPPR4	PLPPR4	REPRESSED	BIVALENT	unknown	no
SYF2	SYF2	SIMPLE_AND	INCONSISTENT	unknown	no
SLC35A3	SLC35A3	SIMPLE_AND	INCONSISTENT	metabolic	no
STMN1	STMN1	BIVALENT	SIMPLE_AND	unknown	no
STX12	STX12	SIMPLE_AND	INCONSISTENT	unknown	no
MTARC2	MTARC2	BIVALENT	REPRESSED	unknown	no
STAG1	STAG1	SIMPLE_AND	INCONSISTENT	unknown	yes
IFT46	IFT46	SIMPLE_AND	INCONSISTENT	unknown	no
SLC8A2	SLC8A2	REPRESSED	INCONSISTENT	metabolic	no
CAMSAP2	CAMSAP2	SIMPLE_AND	INCONSISTENT	unknown	no
NRP2	NRP2	BIVALENT	INCONSISTENT	unknown	no
B4GALT6	B4GALT6	SIMPLE_AND	COMPLEX	unknown	no
C1orf54	C1orf54	SIMPLE_AND	INCONSISTENT	unknown	no
USP35	USP35	SIMPLE_OR	INCONSISTENT	unknown	no
HMGN3	HMGN3	SIMPLE_AND	INCONSISTENT	unknown	no
UBE3D	UBE3D	COMPLEX	INCONSISTENT	unknown	no
ANKRD13C	ANKRD13C	SIMPLE_AND	INCONSISTENT	unknown	no
PLAGL1	PLAGL1	SIMPLE_AND	INCONSISTENT	unknown	no
FBXO30	FBXO30	SIMPLE_AND	INCONSISTENT	unknown	no
TNFAIP3	TNFAIP3	SIMPLE_AND	INCONSISTENT	unknown	yes
SGK1	SGK1	REPRESSED	INCONSISTENT	unknown	yes
RNF146	RNF146	SIMPLE_AND	INCONSISTENT	unknown	no
RXYLT1	RXYLT1	SIMPLE_AND	INCONSISTENT	unknown	no
ARMC2	ARMC2	BIVALENT	INCONSISTENT	unknown	no
PKD2	PKD2	SIMPLE_OR	BIVALENT	unknown	no
STBD1	STBD1	BIVALENT	INCONSISTENT	unknown	no
CCNI	CCNI	SIMPLE_AND	COMPLEX	unknown	no
EEF2KMT	EEF2KMT	SIMPLE_AND	INCONSISTENT	unknown	no
KLF12	KLF12	SIMPLE_AND	INCONSISTENT	transcription factor	no
HS1BP3	HS1BP3	SIMPLE_OR	INCONSISTENT	unknown	no
CCND2	CCND2	BIVALENT	SIMPLE_AND	unknown	yes
DNAH7	DNAH7	SIMPLE_AND	INCONSISTENT	unknown	no
SATB2	SATB2	REPRESSED	SIMPLE_OR	chromatin regulator	no
TRPM6	TRPM6	BIVALENT	INCONSISTENT	unknown	no
KLF9	KLF9	SIMPLE_AND	INCONSISTENT	transcription factor	no
PIGZ	PIGZ	SIMPLE_AND	INCONSISTENT	unknown	no
CCDC92	CCDC92	SIMPLE_AND	INCONSISTENT	unknown	no
C1orf198	C1orf198	BIVALENT	SIMPLE_AND	unknown	no
TRIM67	TRIM67	REPRESSED	INCONSISTENT	unknown	no
ABITRAM	ABITRAM	SIMPLE_AND	INCONSISTENT	unknown	no
TRIM32	TRIM32	SIMPLE_AND	INCONSISTENT	unknown	no
PHF19	PHF19	SIMPLE_OR	SIMPLE_AND	chromatin regulator	no
HDHD3	HDHD3	SIMPLE_AND	INCONSISTENT	unknown	no
NR4A3	NR4A3	SIMPLE_AND	BIVALENT	unknown	yes
GALNT12	GALNT12	BIVALENT	SIMPLE_AND	unknown	no
ALG2	ALG2	COMPLEX	SIMPLE_AND	unknown	no
KDSR	KDSR	SIMPLE_AND	INCONSISTENT	unknown	yes
VPS4B	VPS4B	SIMPLE_AND	INCONSISTENT	unknown	no
ONECUT2	ONECUT2	REPRESSED	BIVALENT	transcription factor	no
DCAF4	DCAF4	COMPLEX	SIMPLE_AND	unknown	no
PGF	PGF	SIMPLE_OR	INCONSISTENT	unknown	no
IFI27L2	IFI27L2	BIVALENT	INCONSISTENT	unknown	no
BBOF1	BBOF1	SIMPLE_AND	INCONSISTENT	unknown	no
ACYP1	ACYP1	SIMPLE_AND	INCONSISTENT	unknown	no
DNAL1	DNAL1	SIMPLE_AND	INCONSISTENT	unknown	no
IRF2BPL	IRF2BPL	SIMPLE_AND	INCONSISTENT	unknown	no
FLVCR2	FLVCR2	SIMPLE_AND	INCONSISTENT	unknown	no
ABCD4	ABCD4	COMPLEX	INCONSISTENT	unknown	no
TGFB3	TGFB3	SIMPLE_AND	INCONSISTENT	unknown	no
ALDH6A1	ALDH6A1	SIMPLE_AND	INCONSISTENT	metabolic	no
NRDE2	NRDE2	SIMPLE_AND	INCONSISTENT	unknown	no
COQ6	COQ6	SIMPLE_AND	INCONSISTENT	unknown	no
RHOQ	RHOQ	SIMPLE_AND	INCONSISTENT	unknown	no
KLHL29	KLHL29	SIMPLE_OR	INCONSISTENT	unknown	no
DNMT3A	DNMT3A	SIMPLE_AND	BIVALENT	chromatin regulator	yes
ATAD2B	ATAD2B	SIMPLE_AND	INCONSISTENT	unknown	no
FKBP1B	FKBP1B	BIVALENT	INCONSISTENT	unknown	no
YPEL5	YPEL5	SIMPLE_AND	BIVALENT	unknown	no
YIPF4	YIPF4	SIMPLE_AND	INCONSISTENT	unknown	no
LGALSL	LGALSL	INCONSISTENT	BIVALENT	unknown	no
CNRIP1	CNRIP1	REPRESSED	INCONSISTENT	unknown	no
BCL11A	BCL11A	INCONSISTENT	BIVALENT	transcription factor	yes
CRIPT	CRIPT	SIMPLE_AND	INCONSISTENT	unknown	no
SLC17A5	SLC17A5	SIMPLE_AND	INCONSISTENT	metabolic	no
SLF2	SLF2	SIMPLE_AND	INCONSISTENT	unknown	no
ELOVL3	ELOVL3	REPRESSED	INCONSISTENT	unknown	no
IFIT3	IFIT3	SIMPLE_AND	INCONSISTENT	unknown	no
NKX2-3	NKX2-3	REPRESSED	BIVALENT	transcription factor	no
PYROXD2	PYROXD2	SIMPLE_AND	INCONSISTENT	unknown	no
MXI1	MXI1	BIVALENT	SIMPLE_AND	unknown	no
C10orf88	C10orf88	SIMPLE_AND	INCONSISTENT	unknown	no
DENND10	DENND10	SIMPLE_AND	INCONSISTENT	unknown	no
ARMH3	ARMH3	SIMPLE_AND	INCONSISTENT	unknown	no
CFAP58	CFAP58	SIMPLE_OR	INCONSISTENT	unknown	no
SFRP5	SFRP5	REPRESSED	INCONSISTENT	unknown	no
CRHR1	CRHR1	REPRESSED	BIVALENT	unknown	no
CAAP1	CAAP1	SIMPLE_AND	INCONSISTENT	unknown	no
CD274	CD274	SIMPLE_AND	INCONSISTENT	unknown	yes
LRP11	LRP11	BIVALENT	INCONSISTENT	unknown	no
PLEKHG1	PLEKHG1	BIVALENT	REPRESSED	unknown	no
ARAP3	ARAP3	REPRESSED	INCONSISTENT	unknown	no
GORAB	GORAB	SIMPLE_AND	INCONSISTENT	unknown	no
MSANTD2	MSANTD2	SIMPLE_AND	INCONSISTENT	unknown	no
PLXDC2	PLXDC2	BIVALENT	INCONSISTENT	unknown	no
CCDC77	CCDC77	SIMPLE_AND	INCONSISTENT	unknown	no
WBP4	WBP4	SIMPLE_AND	INCONSISTENT	unknown	no
SMAD9	SMAD9	REPRESSED	INCONSISTENT	unknown	no
KBTBD7	KBTBD7	SIMPLE_AND	INCONSISTENT	unknown	no
PLS1	PLS1	COMPLEX	SIMPLE_AND	unknown	no
ZFP30	ZFP30	SIMPLE_OR	INCONSISTENT	transcription factor	no
UTP20	UTP20	SIMPLE_AND	BIVALENT	unknown	no
MTERF2	MTERF2	SIMPLE_AND	INCONSISTENT	unknown	no
SOCS2	SOCS2	SIMPLE_OR	SIMPLE_AND	unknown	no
DUSP4	DUSP4	BIVALENT	INCONSISTENT	unknown	no
CLU	CLU	REPRESSED	INCONSISTENT	unknown	no
COIL	COIL	SIMPLE_AND	INCONSISTENT	unknown	no
SCPEP1	SCPEP1	SIMPLE_AND	INCONSISTENT	unknown	no
TEX14	TEX14	INCONSISTENT	COMPLEX	unknown	no
TRIM6	TRIM6	SIMPLE_AND	INCONSISTENT	unknown	no
TENT4B	TENT4B	SIMPLE_AND	INCONSISTENT	unknown	no
ADCY7	ADCY7	SIMPLE_OR	SIMPLE_AND	unknown	no
ECHDC2	ECHDC2	SIMPLE_OR	INCONSISTENT	unknown	no
PLBD1	PLBD1	INCONSISTENT	SIMPLE_AND	unknown	no
PYROXD1	PYROXD1	SIMPLE_AND	INCONSISTENT	unknown	no
KCNJ8	KCNJ8	REPRESSED	INCONSISTENT	unknown	no
SEC22A	SEC22A	SIMPLE_AND	INCONSISTENT	unknown	no
B4GALT4	B4GALT4	SIMPLE_AND	INCONSISTENT	unknown	no
CD80	CD80	SIMPLE_AND	INCONSISTENT	unknown	no
DEPDC7	DEPDC7	BIVALENT	INCONSISTENT	unknown	no
GJA3	GJA3	BIVALENT	INCONSISTENT	structural/other	no
TBC1D15	TBC1D15	SIMPLE_AND	COMPLEX	unknown	no
ADGRB2	ADGRB2	REPRESSED	BIVALENT	unknown	no
HCRTR1	HCRTR1	INCONSISTENT	BIVALENT	unknown	no
POLR3GL	POLR3GL	SIMPLE_AND	INCONSISTENT	unknown	no
TNFSF10	TNFSF10	SIMPLE_AND	INCONSISTENT	unknown	no
PDS5A	PDS5A	COMPLEX	SIMPLE_AND	unknown	no
TMEM156	TMEM156	SIMPLE_AND	INCONSISTENT	unknown	no
ZSCAN20	ZSCAN20	SIMPLE_AND	INCONSISTENT	unknown	no
LRIF1	LRIF1	COMPLEX	SIMPLE_AND	unknown	no
GTDC1	GTDC1	SIMPLE_AND	INCONSISTENT	unknown	no
CXCR4	CXCR4	BIVALENT	INCONSISTENT	unknown	yes
ACVR2A	ACVR2A	BIVALENT	INCONSISTENT	unknown	yes
SV2C	SV2C	BIVALENT	REPRESSED	unknown	no
FLT3	FLT3	BIVALENT	REPRESSED	kinase/signaling	yes
UBL3	UBL3	SIMPLE_AND	INCONSISTENT	unknown	no
MTERF4	MTERF4	SIMPLE_AND	INCONSISTENT	unknown	no
OCRL	OCRL	SIMPLE_OR	INCONSISTENT	unknown	no
CD244	CD244	SIMPLE_OR	REPRESSED	unknown	no
SERAC1	SERAC1	SIMPLE_AND	INCONSISTENT	unknown	no
PRXL2A	PRXL2A	SIMPLE_OR	REPRESSED	unknown	no
ZNF205	ZNF205	SIMPLE_AND	INCONSISTENT	transcription factor	no
NAA60	NAA60	SIMPLE_AND	SIMPLE_OR	unknown	no
ODF2L	ODF2L	SIMPLE_AND	INCONSISTENT	unknown	no
SPATA1	SPATA1	SIMPLE_AND	INCONSISTENT	unknown	no
TRMT13	TRMT13	SIMPLE_AND	INCONSISTENT	unknown	no
RWDD3	RWDD3	BIVALENT	INCONSISTENT	unknown	no
SLC66A2	SLC66A2	SIMPLE_AND	INCONSISTENT	metabolic	no
BBS9	BBS9	SIMPLE_AND	INCONSISTENT	unknown	no
ZMIZ2	ZMIZ2	SIMPLE_AND	INCONSISTENT	unknown	no
EEPD1	EEPD1	SIMPLE_OR	INCONSISTENT	unknown	no
WIPF3	WIPF3	REPRESSED	INCONSISTENT	unknown	no
NXPH1	NXPH1	REPRESSED	INCONSISTENT	unknown	no
FKBP9	FKBP9	INCONSISTENT	SIMPLE_AND	unknown	yes
ARL4A	ARL4A	INCONSISTENT	SIMPLE_AND	unknown	no
POLM	POLM	SIMPLE_AND	INCONSISTENT	unknown	no
TWIST1	TWIST1	REPRESSED	INCONSISTENT	unknown	no
GLIPR2	GLIPR2	BIVALENT	INCONSISTENT	unknown	no
ACO1	ACO1	INCONSISTENT	SIMPLE_AND	unknown	no
PHF24	PHF24	REPRESSED	INCONSISTENT	chromatin regulator	no
DNAI1	DNAI1	BIVALENT	INCONSISTENT	unknown	no
CNTFR	CNTFR	REPRESSED	INCONSISTENT	unknown	no
PLAU	PLAU	SIMPLE_OR	INCONSISTENT	unknown	no
CHST3	CHST3	BIVALENT	REPRESSED	unknown	no
EGR2	EGR2	BIVALENT	INCONSISTENT	transcription factor	no
VPS26A	VPS26A	COMPLEX	SIMPLE_AND	unknown	no
IFT81	IFT81	SIMPLE_AND	INCONSISTENT	unknown	no
MED13L	MED13L	BIVALENT	SIMPLE_AND	unknown	no
CDKN2C	CDKN2C	INCONSISTENT	SIMPLE_AND	unknown	yes
ITPR2	ITPR2	SIMPLE_AND	INCONSISTENT	unknown	no
DDX39A	DDX39A	COMPLEX	SIMPLE_AND	unknown	no
WDR83	WDR83	SIMPLE_AND	INCONSISTENT	unknown	no
GIPC1	GIPC1	SIMPLE_OR	SIMPLE_AND	unknown	no
SPRYD7	SPRYD7	SIMPLE_AND	INCONSISTENT	unknown	no
ATP7B	ATP7B	BIVALENT	SIMPLE_AND	unknown	no
ZC3H13	ZC3H13	SIMPLE_AND	INCONSISTENT	unknown	no
OPTN	OPTN	SIMPLE_AND	INCONSISTENT	unknown	no
ITIH5	ITIH5	REPRESSED	BIVALENT	unknown	no
ARHGAP9	ARHGAP9	SIMPLE_AND	INCONSISTENT	unknown	no
NCKAP1L	NCKAP1L	SIMPLE_AND	INCONSISTENT	unknown	no
NR4A1	NR4A1	BIVALENT	INCONSISTENT	unknown	no
HOXC13	HOXC13	REPRESSED	INCONSISTENT	transcription factor	yes
LRP1	LRP1	BIVALENT	INCONSISTENT	unknown	no
HOXC11	HOXC11	REPRESSED	INCONSISTENT	transcription factor	yes
NFE2	NFE2	REPRESSED	SIMPLE_AND	transcription factor	no
EEF1AKMT3	EEF1AKMT3	SIMPLE_AND	INCONSISTENT	unknown	no
KBTBD4	KBTBD4	SIMPLE_AND	INCONSISTENT	unknown	no
COL10A1	COL10A1	REPRESSED	INCONSISTENT	structural/other	no
FAM199X	FAM199X	SIMPLE_AND	INCONSISTENT	unknown	no
RAB9A	RAB9A	SIMPLE_AND	INCONSISTENT	unknown	no
METTL8	METTL8	COMPLEX	SIMPLE_AND	unknown	no
NMI	NMI	SIMPLE_AND	INCONSISTENT	unknown	no
ACVR1C	ACVR1C	REPRESSED	BIVALENT	unknown	no
BATF3	BATF3	SIMPLE_OR	BIVALENT	unknown	no
G0S2	G0S2	INCONSISTENT	BIVALENT	unknown	no
KCNJ2	KCNJ2	BIVALENT	INCONSISTENT	unknown	no
RAB38	RAB38	SIMPLE_OR	INCONSISTENT	unknown	no
MXD4	MXD4	SIMPLE_AND	INCONSISTENT	unknown	no
CHPF	CHPF	BIVALENT	SIMPLE_AND	unknown	no
ENKD1	ENKD1	SIMPLE_AND	INCONSISTENT	unknown	no
FAM210B	FAM210B	INCONSISTENT	SIMPLE_AND	unknown	no
SNX21	SNX21	SIMPLE_OR	INCONSISTENT	unknown	no
TTPAL	TTPAL	SIMPLE_AND	INCONSISTENT	unknown	no
PREX1	PREX1	SIMPLE_AND	INCONSISTENT	unknown	no
PARD6B	PARD6B	SIMPLE_AND	INCONSISTENT	unknown	no
TOX2	TOX2	SIMPLE_AND	INCONSISTENT	unknown	no
PEDS1-UBE2V1	PEDS1-UBE2V1	INCONSISTENT	SIMPLE_AND	unknown	no
RAB22A	RAB22A	SIMPLE_AND	INCONSISTENT	unknown	no
STAU1	STAU1	COMPLEX	SIMPLE_AND	unknown	no
MOCS3	MOCS3	SIMPLE_AND	INCONSISTENT	unknown	no
ANKRD60	ANKRD60	REPRESSED	BIVALENT	unknown	no
BCAS4	BCAS4	SIMPLE_AND	INCONSISTENT	unknown	no
KCNK15	KCNK15	REPRESSED	INCONSISTENT	unknown	no
TP53TG5	TP53TG5	BIVALENT	INCONSISTENT	unknown	no
PCK1	PCK1	REPRESSED	INCONSISTENT	metabolic	no
NEURL2	NEURL2	SIMPLE_AND	INCONSISTENT	unknown	no
FASTKD3	FASTKD3	SIMPLE_AND	INCONSISTENT	unknown	no
PEPD	PEPD	SIMPLE_OR	BIVALENT	unknown	no
IQSEC2	IQSEC2	REPRESSED	BIVALENT	unknown	no
IL9R	IL9R	SIMPLE_AND	INCONSISTENT	unknown	no
MCEE	MCEE	SIMPLE_AND	INCONSISTENT	unknown	no
ATP8A1	ATP8A1	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF576	ZNF576	SIMPLE_AND	INCONSISTENT	transcription factor	no
TRERF1	TRERF1	SIMPLE_AND	INCONSISTENT	unknown	no
PACSIN1	PACSIN1	SIMPLE_AND	INCONSISTENT	unknown	no
BTN2A2	BTN2A2	SIMPLE_AND	INCONSISTENT	unknown	no
SIRT5	SIRT5	SIMPLE_AND	INCONSISTENT	chromatin regulator	no
BTN2A3P	BTN2A3P	SIMPLE_AND	INCONSISTENT	unknown	no
SERPINB6	SERPINB6	REPRESSED	SIMPLE_AND	unknown	no
NQO2	NQO2	INCONSISTENT	SIMPLE_AND	unknown	no
ENSG00000124593		SIMPLE_OR	INCONSISTENT	unknown	no
MOCS1	MOCS1	BIVALENT	INCONSISTENT	unknown	no
CDKN1A	CDKN1A	SIMPLE_AND	BIVALENT	unknown	yes
SOX4	SOX4	SIMPLE_AND	INCONSISTENT	transcription factor	no
GLO1	GLO1	SIMPLE_AND	COMPLEX	unknown	no
CPNE5	CPNE5	BIVALENT	INCONSISTENT	unknown	no
SLC35B3	SLC35B3	SIMPLE_AND	INCONSISTENT	unknown	no
RPP40	RPP40	SIMPLE_AND	INCONSISTENT	unknown	no
ATXN1	ATXN1	SIMPLE_AND	INCONSISTENT	unknown	no
DEK	DEK	SIMPLE_AND	COMPLEX	unknown	yes
EREG	EREG	REPRESSED	INCONSISTENT	unknown	no
MYRF-AS1	MYRF-AS1	SIMPLE_AND	INCONSISTENT	unknown	no
MYRF	MYRF	SIMPLE_OR	SIMPLE_AND	unknown	no
AHNAK	AHNAK	SIMPLE_AND	SIMPLE_OR	unknown	no
WNT1	WNT1	BIVALENT	REPRESSED	unknown	no
FBXL9P	FBXL9P	SIMPLE_AND	INCONSISTENT	unknown	no
DOK4	DOK4	SIMPLE_AND	INCONSISTENT	unknown	no
CLYBL	CLYBL	SIMPLE_AND	INCONSISTENT	unknown	no
RAP2A	RAP2A	SIMPLE_AND	INCONSISTENT	unknown	no
EFNB2	EFNB2	BIVALENT	INCONSISTENT	unknown	no
SOX21	SOX21	REPRESSED	INCONSISTENT	transcription factor	yes
UPF3B	UPF3B	SIMPLE_AND	INCONSISTENT	unknown	no
DMAC2L	DMAC2L	SIMPLE_AND	INCONSISTENT	unknown	no
HS3ST3B1	HS3ST3B1	REPRESSED	INCONSISTENT	unknown	no
SLC25A35	SLC25A35	SIMPLE_AND	INCONSISTENT	metabolic	no
MIR9-1HG	MIR9-1HG	SIMPLE_AND	INCONSISTENT	unknown	no
TTF1	TTF1	SIMPLE_AND	INCONSISTENT	unknown	no
OPRL1	OPRL1	BIVALENT	INCONSISTENT	unknown	no
PPDPF	PPDPF	SIMPLE_AND	BIVALENT	unknown	no
CHCHD5	CHCHD5	SIMPLE_AND	INCONSISTENT	unknown	no
INSIG2	INSIG2	SIMPLE_AND	INCONSISTENT	unknown	no
CCDC93	CCDC93	SIMPLE_AND	INCONSISTENT	unknown	no
ATG4C	ATG4C	SIMPLE_AND	INCONSISTENT	unknown	no
CD70	CD70	SIMPLE_AND	INCONSISTENT	unknown	no
C3	C3	SIMPLE_OR	SIMPLE_AND	unknown	no
SH2D3A	SH2D3A	SIMPLE_AND	INCONSISTENT	unknown	no
FOSB	FOSB	SIMPLE_AND	INCONSISTENT	transcription factor	no
OPA3	OPA3	REPRESSED	BIVALENT	unknown	no
RTN2	RTN2	BIVALENT	SIMPLE_AND	unknown	no
SYMPK	SYMPK	BIVALENT	SIMPLE_AND	unknown	no
GPCPD1	GPCPD1	SIMPLE_AND	INCONSISTENT	unknown	no
GNRH2	GNRH2	SIMPLE_AND	INCONSISTENT	unknown	no
FOXA2	FOXA2	REPRESSED	INCONSISTENT	transcription factor	no
GZF1	GZF1	SIMPLE_AND	INCONSISTENT	unknown	no
NAPB	NAPB	SIMPLE_AND	INCONSISTENT	unknown	no
DTD1	DTD1	SIMPLE_AND	INCONSISTENT	unknown	no
TMX4	TMX4	SIMPLE_AND	INCONSISTENT	unknown	no
STK35	STK35	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
AP5S1	AP5S1	SIMPLE_AND	INCONSISTENT	unknown	no
RRBP1	RRBP1	SIMPLE_AND	BIVALENT	unknown	no
ZNF133	ZNF133	SIMPLE_AND	INCONSISTENT	transcription factor	no
OVOL2	OVOL2	REPRESSED	INCONSISTENT	unknown	no
MKKS	MKKS	SIMPLE_AND	INCONSISTENT	unknown	no
SNRPB2	SNRPB2	SIMPLE_AND	COMPLEX	unknown	no
TCF15	TCF15	REPRESSED	INCONSISTENT	unknown	no
TMEM74B	TMEM74B	REPRESSED	INCONSISTENT	unknown	no
FAM110A	FAM110A	SIMPLE_AND	INCONSISTENT	unknown	no
MRPS26	MRPS26	SIMPLE_AND	INCONSISTENT	unknown	no
CITED1	CITED1	REPRESSED	INCONSISTENT	unknown	no
ZNF436	ZNF436	SIMPLE_AND	INCONSISTENT	transcription factor	no
CHURC1-FNTB	CHURC1-FNTB	COMPLEX	INCONSISTENT	unknown	no
ARMCX5	ARMCX5	SIMPLE_AND	INCONSISTENT	unknown	no
MMP24	MMP24	REPRESSED	BIVALENT	unknown	no
ID1	ID1	BIVALENT	SIMPLE_AND	transcription factor	no
RALY	RALY	COMPLEX	SIMPLE_AND	unknown	no
AMOT	AMOT	SIMPLE_AND	INCONSISTENT	unknown	no
ST3GAL3	ST3GAL3	SIMPLE_AND	INCONSISTENT	unknown	no
TMEM53	TMEM53	SIMPLE_AND	INCONSISTENT	unknown	no
LRFN3	LRFN3	INCONSISTENT	BIVALENT	unknown	no
IGFLR1	IGFLR1	SIMPLE_AND	INCONSISTENT	unknown	no
KIRREL2	KIRREL2	BIVALENT	INCONSISTENT	unknown	no
HCST	HCST	SIMPLE_AND	INCONSISTENT	unknown	no
CCR7	CCR7	SIMPLE_AND	COMPLEX	unknown	yes
NR1D1	NR1D1	SIMPLE_AND	INCONSISTENT	unknown	no
PRRG2	PRRG2	SIMPLE_AND	INCONSISTENT	unknown	no
SCAF1	SCAF1	SIMPLE_AND	INCONSISTENT	unknown	no
PRR12	PRR12	SIMPLE_AND	INCONSISTENT	unknown	no
FLRT1	FLRT1	REPRESSED	INCONSISTENT	unknown	no
WNK4	WNK4	REPRESSED	SIMPLE_AND	kinase/signaling	no
GLIS2	GLIS2	BIVALENT	INCONSISTENT	transcription factor	no
AHDC1	AHDC1	SIMPLE_OR	SIMPLE_AND	unknown	no
