gene_id	gene_name	GM12878_gate_type	K562_gate_type	switch_category
ENSG00000125611	CHCHD5	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125618	PAX8	REPRESSED	REPRESSED	no change
ENSG00000125629	INSIG2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125630	POLR1B	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125633	CCDC93	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125637	PSD4	SIMPLE_OR	SIMPLE_OR	no change
ENSG00000125651	GTF2F1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125652	ALKBH7	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125656	CLPP	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125657	TNFSF9	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125676	THOC2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125686	MED1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125691	RPL23	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125703	ATG4C	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125726	CD70	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125730	C3	SIMPLE_OR	SIMPLE_AND	SIMPLE_OR->SIMPLE_AND
ENSG00000125731	SH2D3A	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125733	TRIP10	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125734	GPR108	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125740	FOSB	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125741	OPA3	REPRESSED	BIVALENT	complex->complex
ENSG00000125743	SNRPD2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125744	RTN2	BIVALENT	SIMPLE_AND	complex->simple
ENSG00000125746	EML2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125753	VASP	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125755	SYMPK	BIVALENT	SIMPLE_AND	complex->simple
ENSG00000125772	GPCPD1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125779	PANK2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125787	GNRH2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125798	FOXA2	REPRESSED	INCONSISTENT	complex->complex
ENSG00000125810	CD93	INCONSISTENT	INCONSISTENT	no change
ENSG00000125812	GZF1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125814	NAPB	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125817	CENPB	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125821	DTD1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125826	RBCK1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125827	TMX4	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125834	STK35	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125835	SNRPB	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125841	NRSN2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125843	AP5S1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125844	RRBP1	SIMPLE_AND	BIVALENT	simple->complex
ENSG00000125846	ZNF133	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125850	OVOL2	REPRESSED	INCONSISTENT	complex->complex
ENSG00000125863	MKKS	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125864	BFSP1	INCONSISTENT	INCONSISTENT	no change
ENSG00000125868	DSTN	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125870	SNRPB2	SIMPLE_AND	COMPLEX	simple->complex
ENSG00000125871	MGME1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125875	TBC1D20	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125877	ITPA	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125878	TCF15	REPRESSED	INCONSISTENT	complex->complex
ENSG00000125885	MCM8	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125895	TMEM74B	REPRESSED	INCONSISTENT	complex->complex
ENSG00000125898	FAM110A	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125901	MRPS26	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125912	NCLN	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125931	CITED1	REPRESSED	INCONSISTENT	complex->complex
ENSG00000125944	HNRNPR	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125945	ZNF436	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125952	MAX	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125954	CHURC1-FNTB	COMPLEX	INCONSISTENT	complex->complex
ENSG00000125962	ARMCX5	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000125965	GDF5	INCONSISTENT	INCONSISTENT	no change
ENSG00000125966	MMP24	REPRESSED	BIVALENT	complex->complex
ENSG00000125967	NECAB3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125968	ID1	BIVALENT	SIMPLE_AND	complex->simple
ENSG00000125970	RALY	COMPLEX	SIMPLE_AND	complex->simple
ENSG00000125971	DYNLRB1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125977	EIF2S2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125991	ERGIC3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000125995	ROMO1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126001	CEP250	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126003	PLAGL2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126005	MMP24OS	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126012	KDM5C	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126016	AMOT	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126062	TMEM115	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126067	PSMB2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126070	AGO3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126088	UROD	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126091	ST3GAL3	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126106	TMEM53	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126107	HECTD3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126214	KLC1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126215	XRCC3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126216	TUBGCP3	COMPLEX	COMPLEX	no change
ENSG00000126217	MCF2L	BIVALENT	BIVALENT	no change
ENSG00000126226	PCID2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126243	LRFN3	INCONSISTENT	BIVALENT	complex->complex
ENSG00000126246	IGFLR1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126247	CAPNS1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126249	PDCD2L	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126254	RBM42	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126259	KIRREL2	BIVALENT	INCONSISTENT	complex->complex
ENSG00000126261	UBA2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126264	HCST	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126267	COX6B1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126353	CCR7	SIMPLE_AND	COMPLEX	simple->complex
ENSG00000126368	NR1D1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126391	FRMD8	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126432	PRDX5	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126453	BCL2L12	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126456	IRF3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126457	PRMT1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126458	RRAS	INCONSISTENT	INCONSISTENT	no change
ENSG00000126460	PRRG2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126461	SCAF1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126464	PRR12	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126500	FLRT1	REPRESSED	INCONSISTENT	complex->complex
ENSG00000126522	ASL	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126524	SBDS	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126561	STAT5A	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126562	WNK4	REPRESSED	SIMPLE_AND	complex->simple
ENSG00000126581	BECN1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126602	TRAP1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126603	GLIS2	BIVALENT	INCONSISTENT	complex->complex
ENSG00000126653	NSRP1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126698	DNAJC8	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126705	AHDC1	SIMPLE_OR	SIMPLE_AND	SIMPLE_OR->SIMPLE_AND
ENSG00000126709	IFI6	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126746	ZNF384	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126749	EMG1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126756	UXT	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126767	ELK1	COMPLEX	SIMPLE_AND	complex->simple
ENSG00000126768	TIMM17B	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126773	PCNX4	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126775	ATG14	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126787	DLGAP5	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126790	L3HYPDH	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126804	ZBTB1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126814	TRMT5	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126821	SGPP1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000126822	PLEKHG3	BIVALENT	BIVALENT	no change
ENSG00000126858	RHOT1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126870	DYNC2I1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126878	AIF1L	REPRESSED	BIVALENT	complex->complex
ENSG00000126882	FAM78A	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126883	NUP214	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126903	SLC10A3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126934	MAP2K2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126945	HNRNPH2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000126953	TIMM8A	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127022	CANX	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127054	INTS11	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127080	IPPK	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127081	ZNF484	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127084	FGD3	REPRESSED	BIVALENT	complex->complex
ENSG00000127124	HIVEP3	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127125	PPCS	SIMPLE_AND	COMPLEX	simple->complex
ENSG00000127152	BCL11B	BIVALENT	INCONSISTENT	complex->complex
ENSG00000127184	COX7C	COMPLEX	SIMPLE_AND	complex->simple
ENSG00000127191	TRAF2	SIMPLE_AND	SIMPLE_OR	SIMPLE_AND->SIMPLE_OR
ENSG00000127220	ABHD8	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127249	ATP13A4	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127252	PLAAT1	REPRESSED	INCONSISTENT	complex->complex
ENSG00000127311	HELB	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127314	RAP1B	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127324	TSPAN8	REPRESSED	BIVALENT	complex->complex
ENSG00000127328	RAB3IP	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127334	DYRK2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127337	YEATS4	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127399	LRRC61	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127415	IDUA	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127418	FGFRL1	BIVALENT	SIMPLE_OR	complex->simple
ENSG00000127419	TMEM175	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127423	AUNIP	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127445	PIN1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127452	FBXL12	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127463	EMC1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127481	UBR4	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127483	HP1BP3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127511	SIN3B	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127526	SLC35E1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127527	EPS15L1	SIMPLE_AND	COMPLEX	simple->complex
ENSG00000127528	KLF2	SIMPLE_AND	BIVALENT	simple->complex
ENSG00000127533	F2RL3	INCONSISTENT	SIMPLE_AND	complex->simple
ENSG00000127540	UQCR11	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127554	GFER	BIVALENT	SIMPLE_AND	complex->simple
ENSG00000127561	SYNGR3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127564	PKMYT1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127580	WDR24	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127586	CHTF18	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127603	MACF1	BIVALENT	BIVALENT	no change
ENSG00000127616	SMARCA4	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127663	KDM4B	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127666	TICAM1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127720	METTL25	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127774	EMC6	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127804	METTL16	COMPLEX	SIMPLE_AND	complex->simple
ENSG00000127824	TUBA4A	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127837	AAMP	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127838	PNKD	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127870	RNF6	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127884	ECHS1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127914	AKAP9	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127922	SEM1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127946	HIP1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127947	PTPN12	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127952	STYXL1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000127980	PEX1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127989	MTERF1	SIMPLE_AND	COMPLEX	simple->complex
ENSG00000127990	SGCE	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127993	RBM48	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000127995	CASD1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128000	ZNF780B	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128011	LRFN1	SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000128016	ZFP36	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128039	SRD5A3	INCONSISTENT	SIMPLE_AND	complex->simple
ENSG00000128040	SPINK2	BIVALENT	INCONSISTENT	complex->complex
ENSG00000128045	RASL11B	INCONSISTENT	INCONSISTENT	no change
ENSG00000128050	PAICS	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128059	PPAT	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128159	TUBGCP6	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128165	ADM2	BIVALENT	INCONSISTENT	complex->complex
ENSG00000128185	DGCR6L	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128191	DGCR8	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128203	ASPHD2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128228	SDF2L1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128245	YWHAH	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128254	YWHAH-AS1	INCONSISTENT	INCONSISTENT	no change
ENSG00000128266	GNAZ	BIVALENT	BIVALENT	no change
ENSG00000128268	MGAT3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128272	ATF4	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128274	A4GALT	COMPLEX	INCONSISTENT	complex->complex
ENSG00000128283	CDC42EP1	REPRESSED	SIMPLE_AND	complex->simple
ENSG00000128309	MPST	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128311	TST	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128335	APOL2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128342	LIF	BIVALENT	INCONSISTENT	complex->complex
ENSG00000128346	C22orf23	INCONSISTENT	INCONSISTENT	no change
ENSG00000128394	APOBEC3F	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128463	EMC4	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128487	SPECC1	BIVALENT	SIMPLE_AND	complex->simple
ENSG00000128512	DOCK4	SIMPLE_AND	BIVALENT	simple->complex
ENSG00000128513	POT1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128524	ATP6V1F	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128534	LSM8	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128536	CDHR3	BIVALENT	BIVALENT	no change
ENSG00000128563	PRKRIP1	SIMPLE_OR	SIMPLE_AND	SIMPLE_OR->SIMPLE_AND
ENSG00000128564	VGF	BIVALENT	INCONSISTENT	complex->complex
ENSG00000128567	PODXL	BIVALENT	BIVALENT	no change
ENSG00000128578	STRIP2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128581	IFT22	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128585	MKLN1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128590	DNAJB9	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128591	FLNC	REPRESSED	SIMPLE_AND	complex->simple
ENSG00000128595	CALU	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128596	CCDC136	SIMPLE_OR	SIMPLE_AND	SIMPLE_OR->SIMPLE_AND
ENSG00000128602	SMO	SIMPLE_OR	BIVALENT	simple->complex
ENSG00000128604	IRF5	SIMPLE_AND	REPRESSED	simple->complex
ENSG00000128607	KLHDC10	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128609	NDUFA5	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128626	MRPS12	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128645	HOXD1	REPRESSED	BIVALENT	complex->complex
ENSG00000128654	MTX2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128656	CHN1	BIVALENT	BIVALENT	no change
ENSG00000128694	OSGEPL1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128699	ORMDL1	COMPLEX	INCONSISTENT	complex->complex
ENSG00000128708	HAT1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128709	HOXD9	REPRESSED	REPRESSED	no change
ENSG00000128710	HOXD10	REPRESSED	REPRESSED	no change
ENSG00000128713	HOXD11	REPRESSED	REPRESSED	no change
ENSG00000128714	HOXD13	REPRESSED	REPRESSED	no change
ENSG00000128731	HERC2	SIMPLE_AND	SIMPLE_OR	SIMPLE_AND->SIMPLE_OR
ENSG00000128789	PSMG2	SIMPLE_OR	SIMPLE_AND	SIMPLE_OR->SIMPLE_AND
ENSG00000128791	TWSG1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128805	ARHGAP22	SIMPLE_AND	SIMPLE_OR	SIMPLE_AND->SIMPLE_OR
ENSG00000128815	WDFY4	SIMPLE_AND	REPRESSED	simple->complex
ENSG00000128829	EIF2AK4	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128849	CGNL1	REPRESSED	BIVALENT	complex->complex
ENSG00000128872	TMOD2	SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000128881	TTBK2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128886	ELL3	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128891	CCDC32	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128908	INO80	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128915	ICE2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128917	DLL4	BIVALENT	INCONSISTENT	complex->complex
ENSG00000128923	MINDY2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128944	KNSTRN	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128951	DUT	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000128965	CHAC1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000128989	ARPP19	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129003	VPS13C	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129038	LOXL1	REPRESSED	BIVALENT	complex->complex
ENSG00000129055	ANAPC13	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129071	MBD4	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129083	COPB1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129084	PSMA1	SIMPLE_OR	SIMPLE_AND	SIMPLE_OR->SIMPLE_AND
ENSG00000129103	SUMF2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129128	SPCS3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129158	SERGEF	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000129159	KCNC1	REPRESSED	INCONSISTENT	complex->complex
ENSG00000129170	CSRP3	REPRESSED	REPRESSED	no change
ENSG00000129173	E2F8	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000129187	DCTD	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129195	PIMREG	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000129197	RPAIN	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129214	SHBG	INCONSISTENT	INCONSISTENT	no change
ENSG00000129219	PLD2	SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000129226	CD68	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129235	TXNDC17	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129245	FXR2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129250	KIF1C	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129255	MPDU1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129292	PHF20L1	COMPLEX	SIMPLE_AND	complex->simple
ENSG00000129295	DNAAF11	BIVALENT	INCONSISTENT	complex->complex
ENSG00000129315	CCNT1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129317	PUS7L	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129347	KRI1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129351	ILF3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129353	SLC44A2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129355	CDKN2D	INCONSISTENT	INCONSISTENT	no change
ENSG00000129422	MTUS1	REPRESSED	BIVALENT	complex->complex
ENSG00000129460	NGDN	COMPLEX	COMPLEX	no change
ENSG00000129467	ADCY4	REPRESSED	INCONSISTENT	complex->complex
ENSG00000129472	RAB2B	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000129473	BCL2L2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000129474	AJUBA	BIVALENT	INCONSISTENT	complex->complex
ENSG00000129480	DTD2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129484	PARP2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000129493	HEATR5A	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129515	SNX6	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129518	EAPP	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129521	EGLN3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129534	MIS18BP1	SIMPLE_AND	COMPLEX	simple->complex
ENSG00000129535	NRL	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000129559	NEDD8	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129562	DAD1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129566	TEP1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000129595	EPB41L4A	BIVALENT	INCONSISTENT	complex->complex
ENSG00000129596	CDO1	REPRESSED	REPRESSED	no change
ENSG00000129625	REEP5	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129636	ITFG1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129654	FOXJ1	REPRESSED	INCONSISTENT	complex->complex
ENSG00000129657	SEC14L1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129667	RHBDF2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000129673	AANAT	INCONSISTENT	INCONSISTENT	no change
ENSG00000129691	ASH2L	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129696	TTI2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129757	CDKN1C	BIVALENT	SIMPLE_AND	complex->simple
ENSG00000129810	SGO1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129910	CDH15	REPRESSED	INCONSISTENT	complex->complex
ENSG00000129911	KLF16	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129932	DOHH	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129933	MAU2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129968	ABHD17A	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000129990	SYT5	INCONSISTENT	INCONSISTENT	no change
ENSG00000129993	CBFA2T3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130005	GAMT	SIMPLE_OR	SIMPLE_AND	SIMPLE_OR->SIMPLE_AND
ENSG00000130021	PUDP	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130023	ERMARD	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130024	PHF10	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130066	SAT1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130119	GNL3L	SIMPLE_AND	COMPLEX	simple->complex
ENSG00000130150	MOSPD2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130158	DOCK6	SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000130159	ECSIT	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130164	LDLR	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130165	ELOF1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130175	PRKCSH	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130177	CDC16	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130182	ZSCAN10	INCONSISTENT	INCONSISTENT	no change
ENSG00000130193	THEM6	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000130202	NECTIN2	BIVALENT	SIMPLE_AND	complex->simple
