gene_id	mean_tpm	decile	is_switching
ENSG00000065308	1.825	3	True
ENSG00000065357	2.21	4	True
ENSG00000065491	3.6900000000000004	4	True
ENSG00000065534	0.16	0	True
ENSG00000065615	6.98	6	True
ENSG00000065665	0.8	2	True
ENSG00000065675	2.5700000000000003	4	True
ENSG00000065717	0.29000000000000004	1	True
ENSG00000065833	2.145	4	True
ENSG00000065882	0.365	1	True
ENSG00000065970	0.7849999999999999	2	True
ENSG00000065989	0.475	1	True
ENSG00000066027	19.285	7	True
ENSG00000066294	1.0750000000000002	2	True
ENSG00000066379	240.83499999999998	9	True
ENSG00000066427	10.09	6	True
ENSG00000066455	4.824999999999999	5	True
ENSG00000066583	13.445	7	True
ENSG00000066739	0.6699999999999999	2	True
ENSG00000066827	0.19	0	True
ENSG00000066923	0.7749999999999999	2	True
ENSG00000067208	3.145	4	True
ENSG00000067221	0.15	0	True
ENSG00000067248	4.6899999999999995	5	True
ENSG00000067533	37.379999999999995	8	True
ENSG00000067601	8.725	6	True
ENSG00000067836	0.6	2	True
ENSG00000068078	0.885	2	True
ENSG00000068079	4.03	5	True
ENSG00000068137	0.385	1	True
ENSG00000068305	1.155	3	True
ENSG00000068354	0.32	1	True
ENSG00000068383	0.425	1	True
ENSG00000068400	2.625	4	True
ENSG00000068650	0.38	1	True
ENSG00000068724	0.6	2	True
ENSG00000068885	4.01	5	True
ENSG00000068903	2.36	4	True
ENSG00000069011	0.12	0	True
ENSG00000069275	43.465	8	True
ENSG00000069424	2.01	3	True
ENSG00000069482	9.045	6	True
ENSG00000069509	41.915	8	True
ENSG00000069869	4.92	5	True
ENSG00000070010	416.69	9	True
ENSG00000070182	0.15	0	True
ENSG00000070423	0.24	0	True
ENSG00000070444	0.12	0	True
ENSG00000070476	0.515	1	True
ENSG00000070540	2.635	4	True
ENSG00000070759	1.1	2	True
ENSG00000070814	11.29	7	True
ENSG00000071051	0.765	2	True
ENSG00000071054	5.1850000000000005	5	True
ENSG00000071189	3.4000000000000004	4	True
ENSG00000071537	5.45	5	True
ENSG00000071553	6.85	6	True
ENSG00000071575	8.185	6	True
ENSG00000072071	0.155	0	True
ENSG00000072110	2.1	3	True
ENSG00000072135	12.4	7	True
ENSG00000072182	0.135	0	True
ENSG00000072401	3.08	4	True
ENSG00000072415	2.7800000000000002	4	True
ENSG00000072422	1.275	3	True
ENSG00000072609	0.33499999999999996	1	True
ENSG00000072682	10.785	6	True
ENSG00000072778	20.415	7	True
ENSG00000072786	0.305	1	True
ENSG00000072818	0.48	1	True
ENSG00000072849	79.315	9	True
ENSG00000072954	0.185	0	True
ENSG00000073050	1.5699999999999998	3	True
ENSG00000073169	0.23	0	True
ENSG00000073331	2.365	4	True
ENSG00000073350	0.26	1	True
ENSG00000073711	0.11000000000000001	0	True
ENSG00000073792	2.58	4	True
ENSG00000073910	0.15000000000000002	0	True
ENSG00000074219	1.2349999999999999	3	True
ENSG00000074356	2.4050000000000002	4	True
ENSG00000074621	2.05	3	True
ENSG00000075035	0.5549999999999999	1	True
ENSG00000075218	2.455	4	True
ENSG00000075240	0.18	0	True
ENSG00000075340	2.6950000000000003	4	True
ENSG00000075407	2.4749999999999996	4	True
ENSG00000075624	1614.905	9	True
ENSG00000075651	16.240000000000002	7	True
ENSG00000076043	96.07499999999999	9	True
ENSG00000076053	49.035	8	True
ENSG00000076067	0.12	0	True
ENSG00000076351	0.27	1	True
ENSG00000076650	2.64	4	True
ENSG00000076864	0.445	1	True
ENSG00000077232	6.220000000000001	5	True
ENSG00000077238	0.185	0	True
ENSG00000077713	1.035	2	True
ENSG00000078043	2.085	3	True
ENSG00000078070	10.100000000000001	6	True
ENSG00000078081	0.515	1	True
ENSG00000078124	1.565	3	True
ENSG00000078177	2.145	4	True
ENSG00000078246	2.465	4	True
ENSG00000078269	1.86	3	True
ENSG00000078319	21.655	7	True
ENSG00000078487	0.245	0	True
ENSG00000078699	0.25	0	True
ENSG00000078804	0.575	2	True
ENSG00000078808	3.27	4	True
ENSG00000079150	15.655000000000001	7	True
ENSG00000079156	2.005	3	True
ENSG00000079332	84.99	9	True
ENSG00000079393	2.61	4	True
ENSG00000079785	109.99000000000001	9	True
ENSG00000079950	7.945	6	True
ENSG00000079974	0.635	2	True
ENSG00000080200	0.11000000000000001	0	True
ENSG00000080298	0.665	2	True
ENSG00000080371	5.335	5	True
ENSG00000080546	2.17	4	True
ENSG00000080823	1.7000000000000002	3	True
ENSG00000080839	2.275	4	True
ENSG00000081014	0.73	2	True
ENSG00000081026	0.57	2	True
ENSG00000081041	1.925	3	True
ENSG00000081059	1.4	3	True
ENSG00000081177	1.0699999999999998	2	True
ENSG00000081181	17.555	7	True
ENSG00000081237	24.93	8	True
ENSG00000081377	0.9750000000000001	2	True
ENSG00000081386	3.295	4	True
ENSG00000081760	1.78	3	True
ENSG00000082068	11.8	7	True
ENSG00000082175	0.365	1	True
ENSG00000082258	7.029999999999999	6	True
ENSG00000082512	1.245	3	True
ENSG00000082805	0.75	2	True
ENSG00000083097	0.54	1	True
ENSG00000083099	61.75	8	True
ENSG00000083123	2.9	4	True
