Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,label,origin_group,nominal_p_threshold_used
gs_ind_0,Vesicle-Mediated Transport (GO:0016192),72/405,1.8297200552917624e-12,7.332187276114626e-10,2.8048293326675466,75.80572446977455,TRIM23;DNM1;CYTH1;STX6;RAB22A;ARL6;SCRN1;ARL11;STX12;MYO6;VAMP2;PXK;EXOC8;TBC1D2B;DENND1B;CHMP6;EXPH5;SNAPIN;RAB12;RAB3IP;SYTL1;RAB39A;RHOQ;RAB30;RAB4A;ZFYVE9;NCALD;BLOC1S2;VAMP1;AP4E1;AP5S1;ALS2;MTM1;RAB43;UVRAG;AGAP2;TMCC1;STX7;AP1S3;RAB34;SNX18;EHD4;CHM;CHMP1B;RAB4B;VPS4B;AP5Z1;ZFYVE16;IFT27;RINL;TBC1D4;SNX16;WASL;RAB3A;UEVLD;TSNARE1;PLEKHF1;AP4S1;MAPK8IP3;CHMP2B;RHOV;STX8;MITD1;DTX3L;ZFYVE27;COMMD1;CCL5;SYT11;CEP83;AKTIP;ATG14;RAB2B,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Protein Modification Process (GO:0036211),102/706,3.039479060930687e-11,1.1165019750485391e-08,2.1942425731345208,53.13742357784485,MAP3K12;HCST;CDK11B;LATS2;PASK;GLYCTK;GMPPB;NTAQ1;MTM1;TRIB1;UVRAG;MAP4K1;TP53RK;TAF3;PLPP6;CDK19;TAF5;B4GALT7;ATG4A;NEK3;ADPRH;RNASEL;ATG14;FER;IKBKE;AGA;MAP3K9;RPS6KA5;PTPRJ;FGR;ERBB2;LIMK2;ING4;BTRC;ALG10B;TESK2;PPEF1;MTMR6;TSSK6;WIPI1;RBX1;STK3;STK10;ATG16L2;MSRA;CTDP1;STK17A;ULK1;UBLCP1;NEK11;PICK1;NAA80;MAP3K5;FKTN;CAMK2D;PXK;GMFB;ERN1;FUT4;BMPR2;METAP1D;MTMR3;SYK;STK36;LIPT1;STK38;PPP2R5B;PIM3;MANBA;PORCN;ATG4C;PTPN22;PGAP1;ST8SIA4;PDK2;GRK5;CDKL3;MAP4K2;PTPN6;CTTNBP2NL;JMJD7;GRK3;INSR;NEK1;SLC35A1;PTPRC;PPM1D;PPP3CA;BRSK1;TP53INP2;ST3GAL3;DYRK1B;PPM1M;SSH1;CILK1;ATG10;HASPIN;DUSP11;ATE1;UBE2L6;EIF2AK3;GLRX,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,DNA Damage Response (GO:0006974),66/382,5.443343789371014e-11,1.8457122633498023e-08,2.7067348969703273,63.97108754720033,HELB;NSMCE3;CEP63;RAD51D;IKBKE;PARP2;DDB2;ZBTB4;ING2;MUTYH;CDKN2AIP;SHLD1;ZC3H12A;TRAIP;BRSK1;FANCC;ALKBH1;FLYWCH1;BCL2;E2F1;FAM111A;ETAA1;USP51;KIN;SIRT1;TREX1;SUSD6;TRAPPC13;ALKBH3;NRDE2;UVRAG;FANCF;SLF2;ERCC4;BCL2L2;HINFP;TP53;FOXO1;TENT4A;ENDOV;ZNF668;HIC1;CENPS;POLI;VCPIP1;RBX1;ZBTB1;RAD9B;RAD51B;IRF7;IER3;SLX4;UBE2E2;HPF1;RRM2B;MAP2K6;ALKBH8;ANKLE1;STXBP4;XPA;PLK3;DTX3L;BCL3;MOAP1;CRADD;TOPORS,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Interferon Gamma Response,42/197,2.5236674536291475e-10,7.945947239712345e-08,3.5077617078630556,77.52201692972123,TRIM21;ARID5B;NFKB1;MVP;LATS2;IRF2;DDX60;XAF1;CMPK2;IFI35;GCH1;APOL6;TNFAIP3;CD274;BPGM;IL18BP;IL7;SAMD9L;NOD1;SLC25A28;SOCS1;ST8SIA4;NMI;IRF9;IFIT3;CASP7;MX1;UBE2L6;TRIM26;DHX58;IRF7;IFIT1;HERC6;HELZ2;TNFSF10;OAS3;PTPN6;IFIH1;PSMB9;CCL5;HLA-DMA;PSMB8,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Positive Regulation Of DNA-templated Transcription (GO:0045893),151/1241,4.054768079561341e-10,1.1915611796470928e-07,1.8047418573610716,39.02927059333528,MAP3K12;NFKB1;IRF2;RIGI;TGFB3;KAT2B;NCOA2;OSR2;SFR1;DLL1;BORCS8-MEF2B;NCK2;RYBP;CD80;HOXB4;BICRA;FOSL1;ELL;ZNF516;MOSPD1;SIRT1;ANKRD49;KAT6B;ZSCAN21;TAF3;FOXO1;SGF29;FIZ1;TET2;MLLT11;THAP3;PEX2;MELTF;MSL2;FOXJ2;TADA2B;E2F7;TAF5;EAF2;FZD2;MAP2K3;DXO;RNASEL;MRTFB;GTF2F2;USF3;ZNF76;KDM8;ZC3H12A;RPS6KA5;HEY1;PLAGL1;TFPT;ELK4;ERBB2;ANKRD23;WWOX;ELK3;RELB;INO80D;EFCAB7;BTRC;MAPK7;ZNF304;MAFF;CYP27B1;CREB3;CEP290;LEO1;MIR9-1HG;ZC3H8;PPARGC1B;CRTC1;CREB3L4;E2F2;DTX3L;PCBD2;BCL3;TFEB;BCAS3;MZF1;GPATCH3;ING2;MAP3K5;ZXDC;PIK3R1;MEIS2;RFX3;WAS;BMPR2;RHOQ;IRF2BPL;NUFIP1;INO80B;CALCOCO1;CREBRF;SOX4;CSRNP2;HINFP;TP53;NFKB2;PARP9;IRF9;WASL;ATAD2B;AKNA;KDM6B;CREBL2;FOXO4;RFXAP;DBP;BCL10;TOX2;HOXB2;PAGR1;SPAG8;PBX4;ZMIZ2;PPP3CA;PPARD;HCLS1;TP53INP2;TRIP4;DYRK1B;E2F1;NRL;ZKSCAN3;ESR2;MBTD1;TRERF1;BCL9L;ATXN7;BRCA2;SOX12;ZNF395;MLLT3;IL4I1;ATF5;INO80C;RNF20;NR1D1;TP53INP1;IRF7;NR4A2;HELZ2;ELL3;ZBTB49;EIF2AK3;MED9;E2F8;HIVEP3,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Defense Response To Virus (GO:0051607),40/189,8.373273938600276e-10,2.306836970084376e-07,3.475115134553073,72.63270715193357,MLKL;RNF185;TRIM21;IKBKE;DDX60;IRF2;APOBEC3D;RIGI;PTPRC;PYCARD;SHFL;IFI6;APOBEC3F;BCL2;CARD8;UBE2W;TRIM56;TRIM32;SENP7;NCBP3;IFIT3;MX1;PMAIP1;TRIM26;DHX58;MARCHF2;IFIT1;IRF7;SLFN13;MAP3K14;IFIT5;OAS3;SERINC5;IFIH1;RNASEL;TRIM6;APOBEC3G;TRIM13;TRIM52;RAB2B,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Protein Ubiquitination (GO:0016567),67/430,3.421639852043989e-09,8.103745575958083e-07,2.3901226473441053,46.59100951198719,PEX12;TRIM21;TRIM69;RNF185;TRIM23;MIB2;RNF122;DDB2;TOPORS;UVSSA;RNF227;SMURF2;TRAIP;KLHL2;FANCC;DDA1;NHLRC3;MAGEF1;UBOX5;BCL2;RNF146;SMURF1;RNF103;SH3RF1;TRIM68;KBTBD8;SIRT1;FBXL15;HACE1;CUL9;BRCA2;RNF43;ARRB2;BTRC;FANCF;KCTD13;PEX10;RNF19B;UBE2W;DZIP3;TRIM56;FBXL17;RNFT1;RNF20;TRIM32;RPGR;VCPIP1;RBX1;ANKRD9;ZNF738;UBE2D1;MSL2;NEDD4;UBE2L6;PEX2;MARCHF2;TRIM26;TRIM13;HERC6;RNF38;OBI1;DTX3L;UBE2C;TRIM6;FBXL3;TRIM38;TRIM52,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,TNF-alpha Signaling via NF-kB,40/198,3.4869951954788845e-09,8.103745575958083e-07,3.2770432129022544,63.81787832792072,CD83;ZBTB10;NFKB1;FOSB;IL23A;PFKFB3;ZC3H12A;GADD45B;SERPINB8;MARCKS;TIPARP;FUT4;GCH1;CD80;FOSL1;PHLDA1;TNFAIP3;SLC16A6;RELB;BTG3;NFKBIE;TRIB1;RNF19B;KYNU;MAFF;NFKB2;NINJ1;ZFP36;KLF9;IER3;SNN;NR4A2;DRAM1;KDM6B;MAP2K3;IFIH1;BCL3;CCL5;PLAUR;MAP3K8,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),12/21,3.492993782740553e-09,8.103745575958083e-07,16.78600160901046,326.86552797587433,COX19;TMEM223;SURF1;PET100;COX17;COA8;UQCC5;PET117;FASTKD3;SMIM20;COX16;COX20,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),43/230,1.0684022387423629e-08,2.3547585341881675e-06,2.9761079148382903,54.62502166881829,TRIM21;IKBKE;MIB2;ZDHHC13;TIRAP;ZC3H12A;SPHK2;ALPK1;MAPKBP1;CARD19;OTUD7B;TRADD;TNFAIP3;CARD8;TRIM68;SIRT1;TIFA;ARRB2;NOD1;HMOX1;TRIM32;TLR6;NR1D1;UFL1;AKAP13;TRIM13;APOL2;MAP3K14;IFIT5;TNFSF10;TICAM1;CC2D1A;OPTN;CARD11;MALT1;TMEM9B;TRIM6;BCL10;TRAF5;PYCARD;TRIM38;TRIM52;LTB,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
