gene_id	gate_type_gm12878	gate_type_k562	and_origin
ENSG00000008853	NULL	REPRESSED	NEITHER
ENSG00000008952	COMPLEX	SIMPLE_AND	K562
ENSG00000009307	SIMPLE_AND	COMPLEX	GM12878
ENSG00000009780	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000009790	SIMPLE_AND	NULL	GM12878
ENSG00000009950	NULL	INCONSISTENT	NEITHER
ENSG00000010030	INCONSISTENT	BIVALENT	NEITHER
ENSG00000010219	NULL	INCONSISTENT	NEITHER
ENSG00000010278	BIVALENT	INCONSISTENT	NEITHER
ENSG00000010282	NULL	REPRESSED	NEITHER
ENSG00000010295	SIMPLE_AND	NULL	GM12878
ENSG00000010361	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000010379	NULL	INCONSISTENT	NEITHER
ENSG00000010438	REPRESSED	NULL	NEITHER
ENSG00000010539	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000010626	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000010704	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000010810	SIMPLE_AND	BIVALENT	GM12878
ENSG00000010932	REPRESSED	NULL	NEITHER
ENSG00000011052	COMPLEX	SIMPLE_AND	K562
ENSG00000011083	NULL	REPRESSED	NEITHER
ENSG00000011105	BIVALENT	INCONSISTENT	NEITHER
ENSG00000011201	REPRESSED	NULL	NEITHER
ENSG00000011258	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000011332	BIVALENT	INCONSISTENT	NEITHER
ENSG00000011347	REPRESSED	BIVALENT	NEITHER
ENSG00000011422	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000011451	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000011523	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000011590	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000012124	NULL	INCONSISTENT	NEITHER
ENSG00000012171	REPRESSED	NULL	NEITHER
ENSG00000012174	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000012223	REPRESSED	NULL	NEITHER
ENSG00000012779	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000012822	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000012983	BIVALENT	INCONSISTENT	NEITHER
ENSG00000013016	SIMPLE_OR	REPRESSED	NEITHER
ENSG00000013288	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000013293	REPRESSED	NULL	NEITHER
ENSG00000013297	REPRESSED	NULL	NEITHER
ENSG00000013364	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000013392	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000013523	NULL	REPRESSED	NEITHER
ENSG00000013563	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000013583	BIVALENT	INCONSISTENT	NEITHER
ENSG00000013588	REPRESSED	BIVALENT	NEITHER
ENSG00000013619	NULL	INCONSISTENT	NEITHER
ENSG00000014123	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000014914	NULL	INCONSISTENT	NEITHER
ENSG00000015133	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000015171	NULL	REPRESSED	NEITHER
ENSG00000015285	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000015532	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000016082	REPRESSED	NULL	NEITHER
ENSG00000016391	SIMPLE_AND	BIVALENT	GM12878
ENSG00000016402	BIVALENT	NULL	NEITHER
ENSG00000017427	COMPLEX	INCONSISTENT	NEITHER
ENSG00000018236	REPRESSED	NULL	NEITHER
ENSG00000019144	BIVALENT	SIMPLE_AND	K562
ENSG00000019505	REPRESSED	NULL	NEITHER
ENSG00000019582	SIMPLE_AND	NULL	GM12878
ENSG00000020577	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000020633	SIMPLE_AND	NULL	GM12878
ENSG00000021300	SIMPLE_OR	BIVALENT	NEITHER
ENSG00000021355	BIVALENT	SIMPLE_AND	K562
ENSG00000021488	NULL	REPRESSED	NEITHER
ENSG00000021762	REPRESSED	INCONSISTENT	NEITHER
ENSG00000022567	BIVALENT	SIMPLE_AND	K562
ENSG00000022976	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000023041	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000023171	SIMPLE_AND	NULL	GM12878
ENSG00000023287	NULL	REPRESSED	NEITHER
ENSG00000023445	COMPLEX	INCONSISTENT	NEITHER
ENSG00000023516	SIMPLE_AND	COMPLEX	GM12878
ENSG00000023572	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000023608	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000023697	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000023902	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000024422	NULL	SIMPLE_AND	K562
ENSG00000024862	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000025039	SIMPLE_AND	BIVALENT	GM12878
ENSG00000025434	COMPLEX	SIMPLE_AND	K562
ENSG00000025708	SIMPLE_AND	NULL	GM12878
ENSG00000026036	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000026508	SIMPLE_AND	BIVALENT	GM12878
ENSG00000026559	REPRESSED	BIVALENT	NEITHER
ENSG00000026652	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000026751	SIMPLE_AND	NULL	GM12878
ENSG00000026950	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000027001	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000027075	REPRESSED	BIVALENT	NEITHER
ENSG00000027644	BIVALENT	INCONSISTENT	NEITHER
ENSG00000027697	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000027847	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000028116	COMPLEX	NULL	NEITHER
