gene_id	gate_type_gm12878	gate_type_k562	and_origin
ENSG00000146530	INCONSISTENT	SIMPLE_AND	K562
ENSG00000146555	REPRESSED	NULL	NEITHER
ENSG00000146574	NULL	SIMPLE_AND	K562
ENSG00000146576	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000146587	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000146648	REPRESSED	NULL	NEITHER
ENSG00000146674	REPRESSED	NULL	NEITHER
ENSG00000146676	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000146678	REPRESSED	NULL	NEITHER
ENSG00000146707	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000146755	NULL	REPRESSED	NEITHER
ENSG00000146757	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000146826	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000146828	REPRESSED	INCONSISTENT	NEITHER
ENSG00000146839	REPRESSED	NULL	NEITHER
ENSG00000146842	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000146856	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000146858	SIMPLE_AND	NULL	GM12878
ENSG00000146859	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000146872	SIMPLE_AND	SIMPLE_OR	GM12878
ENSG00000146904	NULL	REPRESSED	NEITHER
ENSG00000146910	NULL	REPRESSED	NEITHER
ENSG00000146926	NULL	REPRESSED	NEITHER
ENSG00000146955	INCONSISTENT	NULL	NEITHER
ENSG00000147010	SIMPLE_AND	BIVALENT	GM12878
ENSG00000147036	NULL	INCONSISTENT	NEITHER
ENSG00000147044	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000147065	NULL	SIMPLE_AND	K562
ENSG00000147082	NULL	INCONSISTENT	NEITHER
ENSG00000147100	REPRESSED	NULL	NEITHER
ENSG00000147113	REPRESSED	NULL	NEITHER
ENSG00000147118	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000147119	SIMPLE_AND	NULL	GM12878
ENSG00000147124	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000147127	NULL	REPRESSED	NEITHER
ENSG00000147138	SIMPLE_AND	NULL	GM12878
ENSG00000147166	NULL	INCONSISTENT	NEITHER
ENSG00000147180	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000147202	SIMPLE_AND	NULL	GM12878
ENSG00000147224	COMPLEX	SIMPLE_AND	K562
ENSG00000147231	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000147234	REPRESSED	NULL	NEITHER
ENSG00000147255	NULL	INCONSISTENT	NEITHER
ENSG00000147256	NULL	BIVALENT	NEITHER
ENSG00000147257	REPRESSED	INCONSISTENT	NEITHER
ENSG00000147316	COMPLEX	SIMPLE_AND	K562
ENSG00000147324	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000147364	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000147394	NULL	INCONSISTENT	NEITHER
ENSG00000147408	REPRESSED	BIVALENT	NEITHER
ENSG00000147443	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000147457	SIMPLE_OR	NULL	NEITHER
ENSG00000147459	BIVALENT	INCONSISTENT	NEITHER
ENSG00000147465	NULL	SIMPLE_AND	K562
ENSG00000147481	REPRESSED	NULL	NEITHER
ENSG00000147535	SIMPLE_AND	NULL	GM12878
ENSG00000147571	REPRESSED	NULL	NEITHER
ENSG00000147576	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000147592	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000147596	REPRESSED	NULL	NEITHER
ENSG00000147601	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000147614	NULL	REPRESSED	NEITHER
ENSG00000147642	NULL	REPRESSED	NEITHER
ENSG00000147647	REPRESSED	NULL	NEITHER
ENSG00000147679	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000147689	NULL	COMPLEX	NEITHER
ENSG00000147799	REPRESSED	COMPLEX	NEITHER
ENSG00000147804	NULL	SIMPLE_OR	NEITHER
ENSG00000147852	BIVALENT	NULL	NEITHER
ENSG00000147883	BIVALENT	NULL	NEITHER
ENSG00000147889	SIMPLE_AND	NULL	GM12878
ENSG00000147894	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000147912	SIMPLE_AND	NULL	GM12878
ENSG00000147996	SIMPLE_OR	NULL	NEITHER
ENSG00000148019	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148053	BIVALENT	NULL	NEITHER
ENSG00000148057	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148090	BIVALENT	INCONSISTENT	NEITHER
ENSG00000148120	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148143	BIVALENT	NULL	NEITHER
ENSG00000148154	COMPLEX	SIMPLE_AND	K562
ENSG00000148156	NULL	REPRESSED	NEITHER
ENSG00000148158	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148175	COMPLEX	SIMPLE_AND	K562
ENSG00000148180	SIMPLE_AND	NULL	GM12878
ENSG00000148218	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000148219	REPRESSED	NULL	NEITHER
ENSG00000148288	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000148290	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148291	INCONSISTENT	SIMPLE_AND	K562
ENSG00000148308	SIMPLE_AND	COMPLEX	GM12878
ENSG00000148331	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148335	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000148337	BIVALENT	SIMPLE_AND	K562
ENSG00000148344	NULL	REPRESSED	NEITHER
ENSG00000148346	NULL	INCONSISTENT	NEITHER
ENSG00000148356	COMPLEX	INCONSISTENT	NEITHER
ENSG00000148362	SIMPLE_AND	COMPLEX	GM12878
ENSG00000148384	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148386	NULL	REPRESSED	NEITHER
ENSG00000148444	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148468	BIVALENT	INCONSISTENT	NEITHER
ENSG00000148481	COMPLEX	SIMPLE_AND	K562
ENSG00000148488	BIVALENT	INCONSISTENT	NEITHER
ENSG00000148516	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148541	REPRESSED	NULL	NEITHER
ENSG00000148572	SIMPLE_AND	COMPLEX	GM12878
ENSG00000148602	REPRESSED	NULL	NEITHER
ENSG00000148690	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148704	REPRESSED	NULL	NEITHER
ENSG00000148737	BIVALENT	INCONSISTENT	NEITHER
ENSG00000148798	REPRESSED	NULL	NEITHER
ENSG00000148803	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148814	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148832	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148835	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148842	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000148935	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149016	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149021	REPRESSED	NULL	NEITHER
ENSG00000149054	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149084	COMPLEX	SIMPLE_AND	K562
ENSG00000149131	REPRESSED	BIVALENT	NEITHER
ENSG00000149177	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149212	BIVALENT	INCONSISTENT	NEITHER
ENSG00000149218	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149231	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149243	REPRESSED	NULL	NEITHER
ENSG00000149256	REPRESSED	NULL	NEITHER
ENSG00000149269	SIMPLE_AND	SIMPLE_OR	GM12878
ENSG00000149289	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149292	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149300	NULL	INCONSISTENT	NEITHER
ENSG00000149305	NULL	REPRESSED	NEITHER
ENSG00000149308	COMPLEX	SIMPLE_AND	K562
ENSG00000149311	COMPLEX	SIMPLE_AND	K562
ENSG00000149328	REPRESSED	BIVALENT	NEITHER
ENSG00000149346	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149380	NULL	INCONSISTENT	NEITHER
ENSG00000149403	SIMPLE_OR	BIVALENT	NEITHER
ENSG00000149418	BIVALENT	REPRESSED	NEITHER
ENSG00000149443	NULL	REPRESSED	NEITHER
ENSG00000149474	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149485	SIMPLE_AND	NULL	GM12878
ENSG00000149516	NULL	INCONSISTENT	NEITHER
ENSG00000149527	NULL	REPRESSED	NEITHER
ENSG00000149531	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149532	COMPLEX	SIMPLE_AND	K562
ENSG00000149547	COMPLEX	SIMPLE_AND	K562
ENSG00000149548	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149557	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149564	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149571	REPRESSED	NULL	NEITHER
ENSG00000149573	BIVALENT	REPRESSED	NEITHER
ENSG00000149575	NULL	REPRESSED	NEITHER
ENSG00000149582	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000149634	NULL	INCONSISTENT	NEITHER
ENSG00000149635	INCONSISTENT	NULL	NEITHER
ENSG00000149639	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000149646	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149654	BIVALENT	INCONSISTENT	NEITHER
ENSG00000149679	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149716	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149742	REPRESSED	NULL	NEITHER
ENSG00000149798	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000149809	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149922	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149929	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000149932	NULL	SIMPLE_OR	NEITHER
ENSG00000149948	BIVALENT	REPRESSED	NEITHER
ENSG00000149970	INCONSISTENT	NULL	NEITHER
ENSG00000149972	NULL	INCONSISTENT	NEITHER
ENSG00000150051	REPRESSED	NULL	NEITHER
ENSG00000150054	SIMPLE_AND	NULL	GM12878
ENSG00000150093	NULL	SIMPLE_OR	NEITHER
ENSG00000150275	REPRESSED	NULL	NEITHER
ENSG00000150347	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150401	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150433	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150455	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150456	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150457	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150459	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150477	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150527	NULL	INCONSISTENT	NEITHER
ENSG00000150540	NULL	INCONSISTENT	NEITHER
ENSG00000150551	REPRESSED	NULL	NEITHER
ENSG00000150556	SIMPLE_AND	NULL	GM12878
ENSG00000150594	REPRESSED	NULL	NEITHER
ENSG00000150625	BIVALENT	NULL	NEITHER
ENSG00000150627	BIVALENT	INCONSISTENT	NEITHER
ENSG00000150628	INCONSISTENT	BIVALENT	NEITHER
ENSG00000150630	BIVALENT	NULL	NEITHER
ENSG00000150636	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150637	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000150656	NULL	REPRESSED	NEITHER
ENSG00000150672	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150681	NULL	REPRESSED	NEITHER
ENSG00000150687	NULL	REPRESSED	NEITHER
ENSG00000150722	NULL	INCONSISTENT	NEITHER
ENSG00000150764	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150773	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150782	NULL	INCONSISTENT	NEITHER
ENSG00000150873	REPRESSED	INCONSISTENT	NEITHER
ENSG00000150907	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000150938	BIVALENT	INCONSISTENT	NEITHER
ENSG00000150961	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000150977	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151012	COMPLEX	SIMPLE_AND	K562
ENSG00000151023	NULL	INCONSISTENT	NEITHER
ENSG00000151025	NULL	INCONSISTENT	NEITHER
ENSG00000151062	REPRESSED	INCONSISTENT	NEITHER
ENSG00000151065	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151079	INCONSISTENT	NULL	NEITHER
ENSG00000151090	REPRESSED	SIMPLE_AND	K562
ENSG00000151116	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151136	REPRESSED	INCONSISTENT	NEITHER
ENSG00000151150	INCONSISTENT	REPRESSED	NEITHER
ENSG00000151151	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151164	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151208	BIVALENT	INCONSISTENT	NEITHER
ENSG00000151224	REPRESSED	NULL	NEITHER
ENSG00000151229	BIVALENT	INCONSISTENT	NEITHER
ENSG00000151233	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151276	BIVALENT	SIMPLE_OR	NEITHER
ENSG00000151287	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151304	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151320	NULL	INCONSISTENT	NEITHER
ENSG00000151322	REPRESSED	NULL	NEITHER
ENSG00000151332	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151338	NULL	INCONSISTENT	NEITHER
ENSG00000151348	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000151353	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151360	NULL	REPRESSED	NEITHER
ENSG00000151376	REPRESSED	NULL	NEITHER
ENSG00000151379	INCONSISTENT	REPRESSED	NEITHER
ENSG00000151388	SIMPLE_AND	REPRESSED	GM12878
ENSG00000151422	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151458	BIVALENT	SIMPLE_AND	K562
ENSG00000151470	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151491	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151498	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151532	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151552	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000151572	REPRESSED	NULL	NEITHER
ENSG00000151575	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151576	REPRESSED	NULL	NEITHER
ENSG00000151612	SIMPLE_AND	BIVALENT	GM12878
ENSG00000151617	REPRESSED	NULL	NEITHER
ENSG00000151623	BIVALENT	INCONSISTENT	NEITHER
ENSG00000151640	NULL	INCONSISTENT	NEITHER
ENSG00000151651	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151655	NULL	REPRESSED	NEITHER
ENSG00000151657	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151687	COMPLEX	NULL	NEITHER
ENSG00000151689	SIMPLE_AND	NULL	GM12878
ENSG00000151690	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151692	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000151693	BIVALENT	INCONSISTENT	NEITHER
ENSG00000151702	BIVALENT	NULL	NEITHER
ENSG00000151715	NULL	BIVALENT	NEITHER
ENSG00000151718	REPRESSED	INCONSISTENT	NEITHER
ENSG00000151726	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151743	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151746	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151748	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151773	INCONSISTENT	NULL	NEITHER
ENSG00000151778	REPRESSED	NULL	NEITHER
ENSG00000151789	REPRESSED	NULL	NEITHER
ENSG00000151835	NULL	SIMPLE_OR	NEITHER
ENSG00000151838	BIVALENT	INCONSISTENT	NEITHER
ENSG00000151846	REPRESSED	NULL	NEITHER
ENSG00000151849	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151881	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151883	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151892	REPRESSED	NULL	NEITHER
ENSG00000151914	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151929	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000151948	COMPLEX	NULL	NEITHER
ENSG00000151952	NULL	REPRESSED	NEITHER
ENSG00000152034	REPRESSED	NULL	NEITHER
ENSG00000152056	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152076	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000152078	BIVALENT	INCONSISTENT	NEITHER
ENSG00000152117	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152133	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152137	NULL	REPRESSED	NEITHER
ENSG00000152147	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152154	REPRESSED	BIVALENT	NEITHER
ENSG00000152192	BIVALENT	INCONSISTENT	NEITHER
ENSG00000152193	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152208	REPRESSED	NULL	NEITHER
ENSG00000152213	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152217	SIMPLE_AND	NULL	GM12878
ENSG00000152219	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152229	INCONSISTENT	SIMPLE_AND	K562
ENSG00000152242	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152253	REPRESSED	NULL	NEITHER
ENSG00000152266	NULL	REPRESSED	NEITHER
ENSG00000152270	INCONSISTENT	SIMPLE_AND	K562
ENSG00000152284	BIVALENT	INCONSISTENT	NEITHER
ENSG00000152315	BIVALENT	INCONSISTENT	NEITHER
ENSG00000152348	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152402	BIVALENT	INCONSISTENT	NEITHER
ENSG00000152404	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152409	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152422	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152430	INCONSISTENT	NULL	NEITHER
ENSG00000152433	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152439	COMPLEX	NULL	NEITHER
ENSG00000152454	SIMPLE_AND	NULL	GM12878
ENSG00000152457	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152465	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152467	REPRESSED	NULL	NEITHER
ENSG00000152484	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152495	SIMPLE_AND	BIVALENT	GM12878
ENSG00000152527	BIVALENT	INCONSISTENT	NEITHER
ENSG00000152580	REPRESSED	BIVALENT	NEITHER
ENSG00000152582	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000152595	NULL	INCONSISTENT	NEITHER
ENSG00000152620	SIMPLE_AND	COMPLEX	GM12878
ENSG00000152642	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000152661	REPRESSED	NULL	NEITHER
ENSG00000152672	NULL	REPRESSED	NEITHER
ENSG00000152684	BIVALENT	NULL	NEITHER
ENSG00000152689	NULL	INCONSISTENT	NEITHER
ENSG00000152749	SIMPLE_AND	COMPLEX	GM12878
ENSG00000152760	REPRESSED	NULL	NEITHER
ENSG00000152778	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152782	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152784	BIVALENT	NULL	NEITHER
ENSG00000152785	BIVALENT	NULL	NEITHER
ENSG00000152804	BIVALENT	SIMPLE_AND	K562
ENSG00000152894	BIVALENT	INCONSISTENT	NEITHER
ENSG00000152904	COMPLEX	SIMPLE_AND	K562
ENSG00000152926	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152932	BIVALENT	NULL	NEITHER
ENSG00000152939	SIMPLE_AND	NULL	GM12878
ENSG00000152952	REPRESSED	INCONSISTENT	NEITHER
ENSG00000152953	REPRESSED	NULL	NEITHER
ENSG00000152969	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000152977	REPRESSED	INCONSISTENT	NEITHER
ENSG00000152990	BIVALENT	NULL	NEITHER
ENSG00000153012	REPRESSED	BIVALENT	NEITHER
ENSG00000153029	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153060	NULL	REPRESSED	NEITHER
ENSG00000153064	NULL	INCONSISTENT	NEITHER
ENSG00000153094	BIVALENT	INCONSISTENT	NEITHER
ENSG00000153140	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153157	REPRESSED	INCONSISTENT	NEITHER
ENSG00000153162	BIVALENT	INCONSISTENT	NEITHER
ENSG00000153208	BIVALENT	INCONSISTENT	NEITHER
ENSG00000153234	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153250	NULL	BIVALENT	NEITHER
ENSG00000153291	BIVALENT	INCONSISTENT	NEITHER
ENSG00000153303	NULL	REPRESSED	NEITHER
ENSG00000153363	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153391	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153406	NULL	REPRESSED	NEITHER
ENSG00000153443	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153485	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153558	BIVALENT	INCONSISTENT	NEITHER
ENSG00000153563	REPRESSED	NULL	NEITHER
ENSG00000153707	REPRESSED	NULL	NEITHER
ENSG00000153714	BIVALENT	NULL	NEITHER
ENSG00000153721	BIVALENT	INCONSISTENT	NEITHER
ENSG00000153790	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153815	SIMPLE_AND	BIVALENT	GM12878
ENSG00000153879	SIMPLE_AND	BIVALENT	GM12878
ENSG00000153885	BIVALENT	SIMPLE_AND	K562
ENSG00000153896	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153898	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153902	BIVALENT	INCONSISTENT	NEITHER
ENSG00000153904	BIVALENT	INCONSISTENT	NEITHER
ENSG00000153933	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000153956	BIVALENT	NULL	NEITHER
ENSG00000153976	NULL	SIMPLE_AND	K562
ENSG00000153993	REPRESSED	NULL	NEITHER
ENSG00000154027	REPRESSED	NULL	NEITHER
ENSG00000154040	BIVALENT	REPRESSED	NEITHER
ENSG00000154065	BIVALENT	REPRESSED	NEITHER
ENSG00000154079	SIMPLE_AND	COMPLEX	GM12878
ENSG00000154080	REPRESSED	NULL	NEITHER
ENSG00000154096	BIVALENT	NULL	NEITHER
ENSG00000154102	SIMPLE_OR	BIVALENT	NEITHER
ENSG00000154114	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154118	COMPLEX	BIVALENT	NEITHER
ENSG00000154122	SIMPLE_AND	BIVALENT	GM12878
ENSG00000154133	REPRESSED	NULL	NEITHER
ENSG00000154134	REPRESSED	INCONSISTENT	NEITHER
ENSG00000154144	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154146	BIVALENT	INCONSISTENT	NEITHER
ENSG00000154153	INCONSISTENT	REPRESSED	NEITHER
ENSG00000154162	REPRESSED	NULL	NEITHER
ENSG00000154165	SIMPLE_AND	NULL	GM12878
ENSG00000154217	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154229	BIVALENT	SIMPLE_AND	K562
ENSG00000154237	SIMPLE_AND	BIVALENT	GM12878
ENSG00000154263	SIMPLE_OR	NULL	NEITHER
ENSG00000154265	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154277	REPRESSED	NULL	NEITHER
ENSG00000154309	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154319	NULL	REPRESSED	NEITHER
ENSG00000154328	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154359	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154447	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154511	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154518	SIMPLE_AND	COMPLEX	GM12878
ENSG00000154529	NULL	INCONSISTENT	NEITHER
ENSG00000154548	INCONSISTENT	NULL	NEITHER
ENSG00000154553	REPRESSED	INCONSISTENT	NEITHER
ENSG00000154589	SIMPLE_AND	NULL	GM12878
ENSG00000154640	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154642	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154654	NULL	SIMPLE_OR	NEITHER
ENSG00000154655	SIMPLE_AND	NULL	GM12878
ENSG00000154721	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154760	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154764	REPRESSED	NULL	NEITHER
ENSG00000154781	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154864	SIMPLE_AND	REPRESSED	GM12878
ENSG00000154874	SIMPLE_OR	NULL	NEITHER
ENSG00000154889	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154917	BIVALENT	INCONSISTENT	NEITHER
ENSG00000154920	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000154928	SIMPLE_AND	NULL	GM12878
ENSG00000154930	BIVALENT	NULL	NEITHER
ENSG00000154957	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155008	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155034	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155052	REPRESSED	NULL	NEITHER
ENSG00000155085	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155087	INCONSISTENT	NULL	NEITHER
ENSG00000155093	NULL	BIVALENT	NEITHER
ENSG00000155096	SIMPLE_OR	NULL	NEITHER
ENSG00000155111	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155158	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000155254	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000155256	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155265	BIVALENT	INCONSISTENT	NEITHER
ENSG00000155287	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155330	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155465	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155495	NULL	INCONSISTENT	NEITHER
ENSG00000155511	REPRESSED	NULL	NEITHER
ENSG00000155530	INCONSISTENT	BIVALENT	NEITHER
ENSG00000155542	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155592	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155621	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155629	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155636	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155659	INCONSISTENT	NULL	NEITHER
ENSG00000155666	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155714	NULL	INCONSISTENT	NEITHER
ENSG00000155719	REPRESSED	NULL	NEITHER
ENSG00000155755	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155760	BIVALENT	INCONSISTENT	NEITHER
ENSG00000155761	NULL	INCONSISTENT	NEITHER
ENSG00000155827	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155846	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155849	SIMPLE_OR	REPRESSED	NEITHER
ENSG00000155850	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155858	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000155886	NULL	INCONSISTENT	NEITHER
