gene_id,gene_name,gm12878_detected,k562_detected,detected_in_both,in_current_background
ENSG00000006530,AGK,True,True,True,True
ENSG00000006534,ALDH3B1,False,True,False,True
ENSG00000006555,TTC22,True,True,True,True
ENSG00000006576,PHTF2,True,True,True,True
ENSG00000006606,CCL26,False,False,False,True
ENSG00000006607,FARP2,True,True,True,True
ENSG00000006611,USH1C,True,True,True,True
ENSG00000006625,GGCT,True,True,True,True
ENSG00000006634,DBF4,True,True,True,True
ENSG00000006638,TBXA2R,True,True,True,True
ENSG00000006652,IFRD1,False,True,False,True
ENSG00000006659,LGALS14,True,False,False,True
ENSG00000006695,COX10,True,True,True,True
ENSG00000006704,GTF2IRD1,True,True,True,True
ENSG00000006712,PAF1,True,True,True,True
ENSG00000006715,VPS41,False,True,False,True
ENSG00000006740,ARHGAP44,True,True,True,True
ENSG00000006744,ELAC2,True,True,True,True
ENSG00000006747,SCIN,True,True,True,True
ENSG00000006756,ARSD,False,False,False,True
ENSG00000006757,PNPLA4,True,True,True,True
ENSG00000006788,MYH13,False,False,False,True
ENSG00000006831,ADIPOR2,True,True,True,True
ENSG00000006837,CDKL3,True,True,True,True
ENSG00000007001,UPP2,True,True,True,True
ENSG00000007038,PRSS21,True,True,True,True
ENSG00000007047,MARK4,True,True,True,True
ENSG00000007062,PROM1,True,True,True,True
ENSG00000007080,CCDC124,True,True,True,True
ENSG00000007129,CEACAM21,True,True,True,True
ENSG00000007168,PAFAH1B1,True,True,True,True
ENSG00000007171,NOS2,False,False,False,True
ENSG00000007174,DNAH9,False,True,False,True
ENSG00000007202,BLTP2,True,True,True,True
ENSG00000007216,SLC13A2,False,True,False,True
ENSG00000007237,GAS7,True,False,False,True
ENSG00000007255,TRAPPC6A,True,True,True,True
ENSG00000007264,MATK,True,True,True,True
ENSG00000007306,CEACAM7,True,True,True,True
ENSG00000007312,CD79B,True,False,False,True
ENSG00000007314,SCN4A,False,False,False,True
ENSG00000007341,ST7L,True,True,True,True
ENSG00000007350,TKTL1,False,False,False,True
ENSG00000007372,PAX6,True,True,True,True
ENSG00000007376,RPUSD1,True,True,True,True
ENSG00000007384,RHBDF1,True,True,True,True
ENSG00000007392,LUC7L,True,True,True,True
ENSG00000007402,CACNA2D2,True,True,True,True
ENSG00000007516,BAIAP3,True,True,True,True
ENSG00000007520,TSR3,True,True,True,True
ENSG00000007541,PIGQ,True,True,True,True
ENSG00000007545,CRAMP1,True,True,True,True
ENSG00000007866,TEAD3,True,True,True,True
ENSG00000007908,SELE,False,False,False,True
ENSG00000007923,DNAJC11,True,True,True,True
ENSG00000007933,FMO3,False,False,False,True
