gene_id,mean_tpm,is_switching,in_zero_stratum
ENSG00000009954,16.705,False,False
ENSG00000010017,20.465,False,False
ENSG00000010030,0.095,True,True
ENSG00000010072,5.3,False,False
ENSG00000010165,12.83,False,False
ENSG00000010244,126.02499999999999,False,False
ENSG00000010256,97.31,False,False
ENSG00000010270,64.275,False,False
ENSG00000010278,0.45499999999999996,True,False
ENSG00000010292,10.035,False,False
ENSG00000010310,1.335,False,False
ENSG00000010318,1.78,False,False
ENSG00000010322,0.345,False,False
ENSG00000010361,0.09,True,True
ENSG00000010539,3.895,True,False
ENSG00000010626,1.58,True,False
ENSG00000010671,8.745,False,False
ENSG00000010704,0.225,True,False
ENSG00000010803,5.77,False,False
ENSG00000010810,2.5300000000000002,True,False
ENSG00000011007,19.675,False,False
ENSG00000011009,2.575,False,False
ENSG00000011021,1.46,False,False
ENSG00000011028,0.305,False,False
ENSG00000011052,17.64,True,False
ENSG00000011105,0.0,True,True
ENSG00000011114,2.795,False,False
ENSG00000011132,0.155,False,False
ENSG00000011143,11.865,False,False
ENSG00000011198,23.69,False,False
ENSG00000011243,6.984999999999999,False,False
ENSG00000011258,1.8299999999999998,True,False
ENSG00000011260,21.645,False,False
ENSG00000011275,3.385,False,False
ENSG00000011295,6.6,False,False
ENSG00000011304,13.085,False,False
ENSG00000011332,0.04,True,True
ENSG00000011347,0.005,True,True
ENSG00000011376,3.6399999999999997,False,False
ENSG00000011405,1.7,False,False
ENSG00000011422,5.65,True,False
ENSG00000011426,11.99,False,False
ENSG00000011451,0.07,True,True
ENSG00000011454,1.1800000000000002,False,False
ENSG00000011478,1.025,False,False
ENSG00000011485,1.465,False,False
ENSG00000011523,0.995,True,False
ENSG00000011566,2.325,False,False
ENSG00000011590,0.0,True,True
ENSG00000011600,0.66,False,False
ENSG00000011638,12.265,False,False
ENSG00000012048,16.55,False,False
ENSG00000012061,7.035,False,False
ENSG00000012174,2.9299999999999997,True,False
ENSG00000012211,0.995,False,False
ENSG00000012660,81.055,False,False
ENSG00000012779,0.07,True,True
ENSG00000012822,2.26,True,False
ENSG00000012963,8.594999999999999,False,False
ENSG00000012983,3.825,True,False
ENSG00000013016,0.0,True,True
ENSG00000013275,311.90999999999997,False,False
ENSG00000013288,0.20500000000000002,True,False
ENSG00000013306,3.54,False,False
ENSG00000013364,0.0,True,True
ENSG00000013374,27.445,False,False
ENSG00000013375,45.980000000000004,False,False
ENSG00000013392,1.685,True,False
ENSG00000013441,33.57,False,False
ENSG00000013503,4.615,False,False
ENSG00000013563,0.495,True,False
ENSG00000013573,2.785,False,False
ENSG00000013583,1.17,True,False
ENSG00000013588,0.0,True,True
ENSG00000013810,1.315,False,False
ENSG00000014123,13.760000000000002,True,False
ENSG00000014138,1.6749999999999998,False,False
ENSG00000014164,0.045,False,True
ENSG00000014216,2.545,False,False
ENSG00000014641,907.3,False,False
ENSG00000014824,9.07,False,False
ENSG00000014919,27.665,False,False
ENSG00000015133,0.385,True,False
ENSG00000015153,12.71,False,False
ENSG00000015285,0.235,True,False
ENSG00000015475,4.3100000000000005,False,False
ENSG00000015479,88.705,False,False
ENSG00000015532,0.495,True,False
ENSG00000015676,14.47,False,False
ENSG00000016391,0.05500000000000001,True,True
ENSG00000016864,11.09,False,False
ENSG00000017260,7.635,False,False
ENSG00000017427,10.54,True,False
ENSG00000017483,7.515000000000001,False,False
ENSG00000017797,8.715,False,False
ENSG00000018189,3.475,False,False
ENSG00000018510,10.26,False,False
ENSG00000018610,14.09,False,False
ENSG00000018625,0.0,False,True
ENSG00000018699,31.405,False,False
ENSG00000018869,0.39,False,False
ENSG00000019144,2.1900000000000004,True,False
ENSG00000019169,0.0,False,True
ENSG00000019186,0.0,False,True
ENSG00000019549,0.0,False,True
ENSG00000020129,1.795,False,False
ENSG00000020181,0.0,False,True
ENSG00000020426,54.614999999999995,False,False
ENSG00000020577,1.0150000000000001,True,False
ENSG00000020922,12.34,False,False
ENSG00000021300,0.045,True,True
ENSG00000021355,42.73,True,False
ENSG00000021574,8.100000000000001,False,False
ENSG00000021762,0.02,True,True
ENSG00000021776,17.755000000000003,False,False
ENSG00000021826,1.865,False,False
ENSG00000022267,0.025,False,True
ENSG00000022277,68.71,False,False
ENSG00000022567,0.56,True,False
ENSG00000022840,51.08,False,False
ENSG00000022976,0.43499999999999994,True,False
ENSG00000023041,13.754999999999999,True,False
ENSG00000023191,2.595,False,False
ENSG00000023228,43.555,False,False
ENSG00000023318,7.130000000000001,False,False
ENSG00000023330,24.09,False,False
ENSG00000023445,0.045,True,True
ENSG00000023516,2.31,True,False
ENSG00000023572,9.785,True,False
ENSG00000023608,4.395,True,False
ENSG00000023697,11.135,True,False
ENSG00000023734,60.79,False,False
ENSG00000023892,1.0350000000000001,False,False
ENSG00000023902,0.245,True,False
ENSG00000023909,6.6850000000000005,False,False
ENSG00000024048,8.29,False,False
ENSG00000024526,6.135,False,False
ENSG00000024862,15.52,True,False
